Số ĐKKD/MST,Tên công ty,Địa chỉ,Ngày thành lập,Ngày hoạt động,Trạng thái,Điện thoại,Người đại diện,Loại hình DN,Cập nhật lần cuối
1102072453,CÔNG TY TNHH BĐS BLUELANDS,"Số 51 Tl 830, Khu Dân Cư Nam Long, Ấp 4, Xã An Thạnh, Huyện Bến Lức, Long An",10/10/2024,10/10/2024,Đang Hoạt Động,0909844872,Đinh Hồng Sơn,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 10/10/2024."
0317747520-001,CÔNG TY TNHH TƯ VẤN LUẬT GIA BẢO - CHI NHÁNH BẾN LỨC,"Số 103 Đường Dt832 Ấp 1, Xã Nhựt Chánh, Huyện Bến Lức, Long An",10/10/2024,10/10/2024,Đang Hoạt Động,0909403412,Phạm Công Luân,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 10/10/2024."
1102072083,CÔNG TY TNHH ĐT XÂY DỰNG THƯƠNG MẠI K.L.M VÕ GIA,"Số 84, Đường Số 16 � Kdc Nam Long, Ấp 4, Xã An Thạnh, Huyện Bến Lức, Long An",08/10/2024,08/10/2024,Đang Hoạt Động,0931957275,Nguyễn Thị Thúy Hằng,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 08/10/2024."
1102072090,CÔNG TY TNHH MÔI TRƯỜNG VÀ NÔNG DƯỢC,"Số 11 Đường Số 8, Khu Dân Cư Nam Long, Xã An Thạnh, Huyện Bến Lức, Long An",08/10/2024,08/10/2024,Đang Hoạt Động,0366546929,Trương Đức Duy Phúc,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 08/10/2024."
1102072164,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH MỘC XANH,"Số 9 Ấp 10 Tổ 28, Xã Lương Hòa, Huyện Bến Lức, Long An",08/10/2024,08/10/2024,Đang Hoạt Động,0899310344,Phùng Tấn Phước,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 08/10/2024."
1100486515-003,VĂN PHÒNG ĐẠI DIỆN - CÔNG TY TNHH MINH NHỰT,"Căn A3/12 Khu Dân Cư Long Phú, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",07/10/2024,07/10/2024,Đang Hoạt Động,N/A,Nguyễn Minh Ngọc,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 07/10/2024."
1102071883,CÔNG TY TNHH TMDV KIM NGUYỄN,"30/2 Ấp 1, Xã An Thạnh, Huyện Bến Lức, Long An",07/10/2024,07/10/2024,Đang Hoạt Động,0899828319,Nguyễn Thị Kim Châu,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 07/10/2024."
1101250953-009,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN NGUYÊN THỊNH - NHÀ MÁY BÊ TÔNG NGUYÊN THỊNH SỐ 4 TẠI LONG AN,"Số 25, Đường Số 3, Khu Dân Cư Nam Long, Xã An Thạnh, Huyện Bến Lức, Long An",06/10/2024,06/10/2024,Đang Hoạt Động,0272 3655612,Trần Thế Dư,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 07/10/2024."
1102071668,CÔNG TY TNHH HARVEST EDEN,"Một Phần Nhà Xưởng Số 22 (Nhà Kho G1C Và G1D), 192 Nguyễn Vă, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",04/10/2024,04/10/2024,Đang Hoạt Động,0333877189,Giang Thiếu Trung,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 10/10/2024."
1102071587,CÔNG TY TNHH LÝ KIM KHOA,"99 Ấp 1A, Xã Thanh Phú, Huyện Bến Lức, Long An",03/10/2024,03/10/2024,Đang Hoạt Động,0941046783,Lý Kim Khoa,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 03/10/2024."
